"CanonicalName","CN","Created","createTimeStamp","Deleted","Description","DisplayName","DistinguishedName","dSCorePropagationData","extensionAttribute10","extensionAttribute11","extensionAttribute12","extensionAttribute13","extensionAttribute14","extensionAttribute15","GroupCategory","GroupScope","groupType","HomePage","instanceType","isDeleted","LastKnownParent","legacyExchangeDN","mail","mailNickname","ManagedBy","member","MemberOf","Members","Modified","modifyTimeStamp","msExchArbitrationMailbox","msExchPoliciesIncluded","msExchRecipientDisplayType","msExchVersion","Name","nTSecurityDescriptor","ObjectCategory","ObjectClass","ObjectGUID","objectSid","ProtectedFromAccidentalDeletion","proxyAddresses","reportToOriginator","SamAccountName","sAMAccountType","sDRightsEffective","showInAddressBook","SID","SIDHistory","uSNChanged","uSNCreated","whenChanged","whenCreated","PropertyNames","AddedProperties","RemovedProperties","ModifiedProperties","PropertyCount","GroupNames"
"intbca.gov.tw/MOF/B01ROOT/B01/B011M00/B011M02/B011M02","B011M02","2012/9/10 下午 07:01:05","2012/9/10 下午 07:01:05",,,"B011M02人事室考核培訓股","CN=B011M02,OU=B011M02,OU=B011M00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","B011M02人事室考核培訓股","B011M02人事室考核培訓股","B011M02人事室考核培訓股","B011M02人事室考核培訓股","B011M02人事室考核培訓股","B011M02人事室考核培訓股","Security","Universal","-2147483640",,"4",,,"/o=INTBCA/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=B011M02","B011M02@ntbca.gov.tw","B011M02",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","2024/3/1 上午 10:04:15","2024/3/1 上午 10:04:15","CN=SystemMailbox{1f05a927-df5e-4980-a7f1-345a79b15ad1},CN=Users,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","1073741833","44220983382016","B011M02","System.DirectoryServices.ActiveDirectorySecurity","CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","group","80f31126-39fa-497c-be77-463649c5c262","S-1-5-21-679905514-346105766-3537659097-10530","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","True","B011M02","268435456","15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-679905514-346105766-3537659097-10530","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","371472427","16818","2024/3/1 上午 10:04:15","2012/9/10 下午 07:01:05","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","54","B011M00"
"intbca.gov.tw/MOF/B01ROOT/B01/B011D00/B011D05/B011D05","B011D05","2012/9/10 下午 06:58:06","2012/9/10 下午 06:58:06",,,"B011D05徵收科清欠及執行股","CN=B011D05,OU=B011D05,OU=B011D00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","B011D05徵收科清欠及執行股(停用)","B011D05徵收科清欠及執行股(停用)","B011D05徵收科清欠及執行股(停用)","B011D05徵收科清欠及執行股(停用)","B011D05徵收科清欠及執行股(停用)","B011D05徵收科清欠及執行股(停用)","Security","Universal","-2147483640",,"4",,,"/o=INTBCA/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=B011D05","B011D05@ntbca.gov.tw","B011D05",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","2023/6/7 上午 08:44:23","2023/6/7 上午 08:44:23","CN=SystemMailbox{1f05a927-df5e-4980-a7f1-345a79b15ad1},CN=Users,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","1073741833","44220983382016","B011D05","System.DirectoryServices.ActiveDirectorySecurity","CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","group","babb9626-488a-49cf-a955-9d87693f9e0b","S-1-5-21-679905514-346105766-3537659097-10485","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","True","B011D05","268435456","15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-679905514-346105766-3537659097-10485","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","245067557","16819","2023/6/7 上午 08:44:23","2012/9/10 下午 06:58:06","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","53","B011D00"
"intbca.gov.tw/MOF/B01ROOT/B01/B011L00/B011L03/B011L03","B011L03","2012/9/10 下午 07:00:43","2012/9/10 下午 07:00:43",,,"B011L03主計室第三股","CN=B011L03,OU=B011L03,OU=B011L00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","B011L03主計室第三股","B011L03主計室第三股","B011L03主計室第三股","B011L03主計室第三股","B011L03主計室第三股","B011L03主計室第三股","Security","Universal","-2147483640",,"4",,,"/o=INTBCA/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=B011L03","B011L03@ntbca.gov.tw","B011L03",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","2024/10/25 下午 04:24:43","2024/10/25 下午 04:24:43","CN=SystemMailbox{1f05a927-df5e-4980-a7f1-345a79b15ad1},CN=Users,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","1073741833","44220983382016","B011L03","System.DirectoryServices.ActiveDirectorySecurity","CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","group","354c3931-14f1-4f97-8273-2184ef51323e","S-1-5-21-679905514-346105766-3537659097-10526","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","True","B011L03","268435456","15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-679905514-346105766-3537659097-10526","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","506221047","16828","2024/10/25 下午 04:24:43","2012/9/10 下午 07:00:43","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","54","B011L00"
"intbca.gov.tw/MOF/B01ROOT/B01/B011Q00/B011Q06/B011Q06","B011Q06","2012/9/10 下午 07:02:16","2012/9/10 下午 07:02:16",,,"B011Q06稅務資訊科系統三股","CN=B011Q06,OU=B011Q06,OU=B011Q00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","B011Q06徵收及資訊組系統三股","B011Q06徵收及資訊組系統三股","B011Q06徵收及資訊組系統三股","B011Q06徵收及資訊組系統三股","B011Q06徵收及資訊組系統三股","B011Q06徵收及資訊組系統三股","Security","Universal","-2147483640",,"4",,,"/o=INTBCA/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=B011Q06","B011Q06@ntbca.gov.tw","B011Q06",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","2024/5/7 上午 09:16:20","2024/5/7 上午 09:16:20","CN=SystemMailbox{1f05a927-df5e-4980-a7f1-345a79b15ad1},CN=Users,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","1073741833","44220983382016","B011Q06","System.DirectoryServices.ActiveDirectorySecurity","CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","group","1f5b2840-12f2-4f5e-b08b-afb5d8501fa6","S-1-5-21-679905514-346105766-3537659097-10550","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","True","B011Q06","268435456","15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-679905514-346105766-3537659097-10550","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","408041621","16844","2024/5/7 上午 09:16:20","2012/9/10 下午 07:02:16","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","54","B011Q00"
"intbca.gov.tw/MOF/B01ROOT/B01/B011A03/B011A03","B011A03","2012/9/10 下午 06:53:30","2012/9/10 下午 06:53:30",,,"B011A03主任秘書室","CN=B011A03,OU=B011A03,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","B011A03主任秘書室","B011A03主任秘書室","B011A03主任秘書室","B011A03主任秘書室","B011A03主任秘書室","B011A03主任秘書室","Security","Universal","-2147483640",,"4",,,"/o=INTBCA/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=B011A03","B011A03@ntbca.gov.tw","B011A03",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","2024/6/26 上午 11:08:19","2024/6/26 上午 11:08:19","CN=SystemMailbox{1f05a927-df5e-4980-a7f1-345a79b15ad1},CN=Users,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","1073741833","44220983382016","B011A03","System.DirectoryServices.ActiveDirectorySecurity","CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","group","fc142347-ff4b-4a2e-9299-caf890f3fcb4","S-1-5-21-679905514-346105766-3537659097-10461","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","True","B011A03","268435456","15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-679905514-346105766-3537659097-10461","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","439014816","16853","2024/6/26 上午 11:08:19","2012/9/10 下午 06:53:30","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","54","B011A00"
"intbca.gov.tw/MOF/B01ROOT/B01/B011F00/B011F09/B011F09","B011F09","2012/9/10 下午 06:58:47","2012/9/10 下午 06:58:47",,,"B011F09綜合規劃科審核員組","CN=B011F09,OU=B011F09,OU=B011F00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","B011F09綜合規劃科審核員組(停用)","B011F09綜合規劃科審核員組(停用)","B011F09綜合規劃科審核員組(停用)","B011F09綜合規劃科審核員組(停用)","B011F09綜合規劃科審核員組(停用)","B011F09綜合規劃科審核員組(停用)","Security","Universal","-2147483640",,"4",,,"/o=INTBCA/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=B011F09","B011F09@ntbca.gov.tw","B011F09",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","2023/1/15 下午 01:22:41","2023/1/15 下午 01:22:41","CN=SystemMailbox{1f05a927-df5e-4980-a7f1-345a79b15ad1},CN=Users,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","1073741833","44220983382016","B011F09","System.DirectoryServices.ActiveDirectorySecurity","CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","group","7e2b8157-0c03-4d9b-8b1a-a69c10c5f94b","S-1-5-21-679905514-346105766-3537659097-10500","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","True","B011F09","268435456","15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-679905514-346105766-3537659097-10500","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","193397702","16866","2023/1/15 下午 01:22:41","2012/9/10 下午 06:58:47","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","53","B011F00"
"intbca.gov.tw/MOF/B01ROOT/B01/B011C00/B011C06/B011C06","B011C06","2012/9/10 下午 06:57:47","2012/9/10 下午 06:57:47",,,"B011C06審查一科二股","CN=B011C06,OU=B011C06,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","B011C06營所稅組審查二股","B011C06營所稅組審查二股","B011C06營所稅組審查二股","B011C06營所稅組審查二股","B011C06營所稅組審查二股","B011C06營所稅組審查二股","Security","Universal","-2147483640",,"4",,,"/o=INTBCA/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=B011C06","B011C06@ntbca.gov.tw","B011C06",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","2024/8/1 上午 10:36:44","2024/8/1 上午 10:36:44","CN=SystemMailbox{1f05a927-df5e-4980-a7f1-345a79b15ad1},CN=Users,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","1073741833","44220983382016","B011C06","System.DirectoryServices.ActiveDirectorySecurity","CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","group","7ebf325a-f9da-47e4-8fbf-3d22895d20ac","S-1-5-21-679905514-346105766-3537659097-10474","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","True","B011C06","268435456","15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-679905514-346105766-3537659097-10474","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","457101094","16868","2024/8/1 上午 10:36:44","2012/9/10 下午 06:57:47","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","54","B011C00"
"intbca.gov.tw/MOF/B01ROOT/B01/B011M00/B011M03/B011M03","B011M03","2012/9/10 下午 07:01:08","2012/9/10 下午 07:01:08",,,"B011M03人事室給與福利股","CN=B011M03,OU=B011M03,OU=B011M00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","B011M03人事室給與福利股","B011M03人事室給與福利股","B011M03人事室給與福利股","B011M03人事室給與福利股","B011M03人事室給與福利股","B011M03人事室給與福利股","Security","Universal","-2147483640",,"4",,,"/o=INTBCA/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=B011M03","B011M03@ntbca.gov.tw","B011M03",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","2024/6/3 上午 10:20:26","2024/6/3 上午 10:20:26","CN=SystemMailbox{1f05a927-df5e-4980-a7f1-345a79b15ad1},CN=Users,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","1073741833","44220983382016","B011M03","System.DirectoryServices.ActiveDirectorySecurity","CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","group","6aea7d5a-6d67-4df5-929d-094ac0678683","S-1-5-21-679905514-346105766-3537659097-10531","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","True","B011M03","268435456","15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-679905514-346105766-3537659097-10531","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","426488776","16870","2024/6/3 上午 10:20:26","2012/9/10 下午 07:01:08","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","54","B011M00"
"intbca.gov.tw/MOF/B01ROOT/B01/B011K00/B011K01/B011K01","B011K01","2012/9/10 下午 06:59:13","2012/9/10 下午 06:59:13",,,"B011K01秘書室事務股","CN=B011K01,OU=B011K01,OU=B011K00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","B011K01秘書室事務股","B011K01秘書室事務股","B011K01秘書室事務股","B011K01秘書室事務股","B011K01秘書室事務股","B011K01秘書室事務股","Security","Universal","-2147483640",,"4",,,"/o=INTBCA/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=B011K01","B011K01@ntbca.gov.tw","B011K01",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","2024/10/18 下午 02:44:22","2024/10/18 下午 02:44:22","CN=SystemMailbox{1f05a927-df5e-4980-a7f1-345a79b15ad1},CN=Users,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","1073741833","44220983382016","B011K01","System.DirectoryServices.ActiveDirectorySecurity","CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","group","f47b8f5b-6618-4b35-ae30-ae6cfd9fbdad","S-1-5-21-679905514-346105766-3537659097-10519","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","True","B011K01","268435456","15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-679905514-346105766-3537659097-10519","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","503087783","16872","2024/10/18 下午 02:44:22","2012/9/10 下午 06:59:13","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","54","B011K00"
"intbca.gov.tw/MOF/B01ROOT/B01/B011L00/B011L01/B011L01","B011L01","2012/9/10 下午 07:00:30","2012/9/10 下午 07:00:30",,,"B011L01主計室第一股","CN=B011L01,OU=B011L01,OU=B011L00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","B011L01主計室第一股","B011L01主計室第一股","B011L01主計室第一股","B011L01主計室第一股","B011L01主計室第一股","B011L01主計室第一股","Security","Universal","-2147483640",,"4",,,"/o=INTBCA/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=B011L01","B011L01@ntbca.gov.tw","B011L01",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","2024/10/25 上午 08:48:42","2024/10/25 上午 08:48:42","CN=SystemMailbox{1f05a927-df5e-4980-a7f1-345a79b15ad1},CN=Users,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","1073741833","44220983382016","B011L01","System.DirectoryServices.ActiveDirectorySecurity","CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","group","fef9405d-b115-4896-8ba0-8eac66fab531","S-1-5-21-679905514-346105766-3537659097-10524","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","True","B011L01","268435456","15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-679905514-346105766-3537659097-10524","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","506175493","16876","2024/10/25 上午 08:48:42","2012/9/10 下午 07:00:30","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","54","B011L00"
