"CanonicalName","City","CN","Country","Created","createTimeStamp","Deleted","Description","DisplayName","DistinguishedName","dSCorePropagationData","gPLink","instanceType","isDeleted","LastKnownParent","LinkedGroupPolicyObjects","ManagedBy","Modified","modifyTimeStamp","Name","nTSecurityDescriptor","ObjectCategory","ObjectClass","ObjectGUID","ou","PostalCode","ProtectedFromAccidentalDeletion","protocom-SSO-Entries","protocom-SSO-Entries-Checksum","protocom-SSO-Security-Prefs","protocom-SSO-Security-Prefs-Checksum","sDRightsEffective","State","StreetAddress","uSNChanged","uSNCreated","whenChanged","whenCreated"
"intbca.gov.tw/MOF",,,,"2011/12/27 下午 04:20:34","2011/12/27 下午 04:20:34",,,,"OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","[LDAP://cn={B161F8F2-EE12-4D13-9BF3-275015A69CA7},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={6FC2009F-9802-44E7-A66A-B26C8F7C321E},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={EEEACFAE-C80C-4615-B7B3-EBE4F776146B},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={F8FE1F44-F652-4F13-8ACA-1E0FE2324638},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={E620AB43-2B3F-4B0A-A5A7-CB0C0AC3A00A},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={77FFC640-E30D-4A05-A3CC-65E724CC975E},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={CCDCB3E5-0D26-401C-A237-1D03A050C4E2},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={97AB437B-0EDE-4F56-BC17-1E5C117E64B4},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={46A8C60A-B619-456C-B75A-2CD44B9F41A7},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={ECFF0154-1959-43CF-A2E1-4EE6606A25A2},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={6FCEBC39-A35F-4256-B8A7-FE906CD65B37},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={EFAF156C-F348-4ECB-B8D9-4E22355C6745},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={5F6BF249-5BE4-45B7-A9F1-62DFA6186D7C},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={CDE368E5-B7D8-4E43-8E2C-6504A7A95B55},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={2C662018-5100-4C4A-BAC3-2C7B7DDCB0FF},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={78193358-A99D-48EB-A053-E10F795B1FE6},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={2041788D-F835-4569-B752-C1514C8FB68D},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={474D2E90-D1AC-410B-A7ED-B88CEE27B643},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={CC22A62C-1E58-4DEA-BCDD-4966D083E0F7},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={7ED48403-DCE5-404F-AEAE-A78F36E561FC},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={0857F923-2FFA-447D-B892-E91173D74A9F},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0][LDAP://cn={6AA102D7-2B0D-4C81-A31E-9A052CBB5DEF},cn=policies,cn=system,DC=intbca,DC=gov,DC=tw;0]","4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"2024/9/2 下午 03:03:49","2024/9/2 下午 03:03:49","MOF","System.DirectoryServices.ActiveDirectorySecurity","CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","organizationalUnit","22f8243c-b17f-4bcc-8ca5-f814e362ddea","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","15",,,"475191141","16675","2024/9/2 下午 03:03:49","2011/12/27 下午 04:20:34"
"intbca.gov.tw/MOF/B01ROOT",,,,"2012/9/10 下午 06:53:26","2012/9/10 下午 06:53:26",,,"B01ROOT中區國稅局內部機關根節點","OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"," ","4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"2021/4/7 下午 05:10:08","2021/4/7 下午 05:10:08","B01ROOT","System.DirectoryServices.ActiveDirectorySecurity","CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","organizationalUnit","28558ae9-5e57-4259-aa18-3267cdf80aa8","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","15",,,"36359227","16676","2021/4/7 下午 05:10:08","2012/9/10 下午 06:53:26"
"intbca.gov.tw/MOF/B01ROOT/B01",,,,"2012/9/10 下午 06:53:26","2012/9/10 下午 06:53:26",,,"B01財政部中區國稅局","OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"," ","4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"2024/3/5 上午 10:12:38","2024/3/5 上午 10:12:38","B01","System.DirectoryServices.ActiveDirectorySecurity","CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","organizationalUnit","fd7abe09-c262-4231-892a-28fe4adb68b5","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","15",,,"373695018","16677","2024/3/5 上午 10:12:38","2012/9/10 下午 06:53:26"
"intbca.gov.tw/MOF/B01ROOT/B01/B011A00",,,,"2012/9/10 下午 06:53:26","2012/9/10 下午 06:53:26",,,"B011A00首長室","OU=B011A00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"," ","4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"2020/9/1 上午 09:39:09","2020/9/1 上午 09:39:09","B011A00","System.DirectoryServices.ActiveDirectorySecurity","CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","organizationalUnit","b11a408b-daa5-4b18-a2eb-657986d903f4","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","15",,,"11357426","18085","2020/9/1 上午 09:39:09","2012/9/10 下午 06:53:26"
"intbca.gov.tw/MOF/B01ROOT/B01/B011B00",,,,"2012/9/10 下午 06:53:36","2012/9/10 下午 06:53:36",,,"B011B00服務科","OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"," ","4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"2020/9/1 上午 09:39:09","2020/9/1 上午 09:39:09","B011B00","System.DirectoryServices.ActiveDirectorySecurity","CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","organizationalUnit","b8afdd1f-74f4-4bce-8a01-d59b9d263f18","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","15",,,"11357431","16679","2020/9/1 上午 09:39:09","2012/9/10 下午 06:53:36"
"intbca.gov.tw/MOF/B01ROOT/B01/B011B00/B011B01",,,,"2012/9/10 下午 06:53:36","2012/9/10 下午 06:53:36",,,"B011B01服務科服務股","OU=B011B01,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"2020/1/18 上午 11:31:05","2020/1/18 上午 11:31:05","B011B01","System.DirectoryServices.ActiveDirectorySecurity","CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","organizationalUnit","b6313558-f125-4ee0-baa0-7441cfe7214c","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","15",,,"16680","16680","2020/1/18 上午 11:31:05","2012/9/10 下午 06:53:36"
"intbca.gov.tw/MOF/B01ROOT/B01/B011B00/B011B02",,,,"2012/9/10 下午 06:53:44","2012/9/10 下午 06:53:44",,,"B011B02服務科宣導股","OU=B011B02,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"2020/1/18 上午 11:31:06","2020/1/18 上午 11:31:06","B011B02","System.DirectoryServices.ActiveDirectorySecurity","CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","organizationalUnit","24b00f2b-28cf-420f-8d02-f87e26b5423f","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","15",,,"17843","17843","2020/1/18 上午 11:31:06","2012/9/10 下午 06:53:44"
"intbca.gov.tw/MOF/B01ROOT/B01/B011C00",,,,"2012/9/10 下午 06:53:50","2012/9/10 下午 06:53:50",,,"B011C00營所稅組","OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"," ","4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"2023/1/13 下午 06:52:23","2023/1/13 下午 06:52:23","B011C00","System.DirectoryServices.ActiveDirectorySecurity","CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","organizationalUnit","72d14e9e-9b46-419a-8340-94932ac83995","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","15",,,"192796599","16681","2023/1/13 下午 06:52:23","2012/9/10 下午 06:53:50"
"intbca.gov.tw/MOF/B01ROOT/B01/B011C00/B011C02",,,,"2012/9/10 下午 06:53:51","2012/9/10 下午 06:53:51",,,"B011C02審查一科審核員一組(停用)","OU=B011C02,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"2023/1/15 下午 01:16:32","2023/1/15 下午 01:16:32","B011C02","System.DirectoryServices.ActiveDirectorySecurity","CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","organizationalUnit","91b844f3-ce0b-4b90-88dc-7947a414de58","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","15",,,"193395827","16694","2023/1/15 下午 01:16:32","2012/9/10 下午 06:53:51"
"intbca.gov.tw/MOF/B01ROOT/B01/B011C00/B011C03",,,,"2012/9/10 下午 06:53:58","2012/9/10 下午 06:53:58",,,"B011C03審查一科審核員二組(停用)","OU=B011C03,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"2023/1/15 下午 01:16:33","2023/1/15 下午 01:16:33","B011C03","System.DirectoryServices.ActiveDirectorySecurity","CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw","organizationalUnit","afeb36a3-fe65-4757-99fd-14ea9abc3af3","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","15",,,"193395829","16682","2023/1/15 下午 01:16:33","2012/9/10 下午 06:53:58"
