"displayname","ou","dn","objectguid","syncattrs_hash","dn_hash","objectclass","objectcategory","placeholder","whencreated","whenchanged"
BELN002財政部綜合規劃司,BELN002,"OU=BELN002,OU=BELN0,OU=BELROOT,OU=MOF,DC=entbca,DC=gov,DC=tw","55b4b8990ef459478e17d358d12766ec","1dc2e3b8717c81d6a10c13a6ba1ba7dc00184b837514d7a5aef4158ddb820bf0","3870c99a278b27b697ab9129f470075fb7ba399c924e16aa0e6c178348d48132",top;organizationalUnit,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=entbca,DC=gov,DC=tw",external,2013-07-25 09:09:50,2020-01-10 14:56:50
BELN003財政部法制處,BELN003,"OU=BELN003,OU=BELN0,OU=BELROOT,OU=MOF,DC=entbca,DC=gov,DC=tw","52e840a2fd0dc643a2a23fa33c7ec586","8219dc1d72e74a30530a65c3dbfce3083960a79c4efefc3e2baaf00ac8ffd9ee",e30aa12bc426b5307a2834c1a8ff22d600bb2b325e8087453ee97d630d319ef9,top;organizationalUnit,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=entbca,DC=gov,DC=tw",external,2020-09-30 15:56:12,2020-09-30 15:56:12
B011E01銷售稅組特種消費稅股,B011E01,"OU=B011E01,OU=B011E00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw","89efb1d219bd114bbb0a0e20c84bc101","7bff4fd3b1738d36f989865cc7d8ed2017f58a1e6baf4b0df55ac8b1fb932e23","000d7eba0feddf41aa45b049b1ba3663ea464ddf8554ab44068938753c16280a",top;organizationalUnit,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=entbca,DC=gov,DC=tw",external,2012-09-10 21:08:20,2023-01-13 18:56:16
B011Q00徵收及資訊組,B011Q00,"OU=B011Q00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw","39e03b4ca3df034da589c9ab037d9998",a37373dccd5d8294cd4a120775bf62f7cc39d48cb6a7b4004de301246eeb9cf1,e75452c20bf91ef0b90caeb3cee401f66c7cfe48acc630b5258a1344caa9a65e,top;organizationalUnit,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=entbca,DC=gov,DC=tw",external,2012-09-10 21:09:55,2024-07-15 10:01:46
B011Q07徵收及資訊組徵收及劃解退稅股,B011Q07,"OU=B011Q07,OU=B011Q00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",a9bb438a103a204fb0358d397b9aebb2,e081d71c0b4d15c95643666f9a418bd37be715779a23984acc6e969f6b03609f,e1824c105feaecbae1924439f470a34c3e120fcd916344e50a4531be763d08d0,top;organizationalUnit,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=entbca,DC=gov,DC=tw",external,2022-12-19 16:08:13,2022-12-19 16:08:13
B011Q08徵收及資訊組欠稅清理及執行股,B011Q08,"OU=B011Q08,OU=B011Q00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",de7424fe771291468845859d86d591ea,bb4061f5cfa22b5839401d6ff14076884780feee95a8597fb3443dca1e632041,"085a4e73195d8bd05e0bda1076239318d97be3e274614b29c60eaa4985d01d6d",top;organizationalUnit,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=entbca,DC=gov,DC=tw",external,2022-12-19 16:08:14,2022-12-19 16:08:14
B011T01法務組違章審理股,B011T01,"OU=B011T01,OU=B011T00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw","6d6ebf854e085d4486372c2d9adc0014","67ab4e20d102df5e622aa4fe0c9d3a43867c6b5af84b437e4b06f782d4e1a661",f591ec7ac2f92b176c7eec929be05f4def92ae6888878b3fe11a72918fc4258a,top;organizationalUnit,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=entbca,DC=gov,DC=tw",external,2012-09-10 21:11:06,2023-01-13 18:56:17
B011C12營所稅組審查四股,B011C12,"OU=B011C12,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",b1cc635d05125d45b9128a6a0a60c9f8,"62c97d6a07cc3875bf5b81fc67affefc43b6b8fd6a0d0c1b8a4f6c0c1d1d80c6","5cd04ec6d891eccf21be09d786b31252ce73993b7d807604dfdf188100a7e955",top;organizationalUnit,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=entbca,DC=gov,DC=tw",external,2023-01-01 13:36:42,2023-01-01 13:36:42
B011C13營所稅組審查五股,B011C13,"OU=B011C13,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw","6fbaa971d135b34ca30bb4cc3b27fdff",b47742acdc8c3171c372dbd581852e6eabd0fbc5b64842350ea3da198c371e85,da66dcd973305bf0fd129d07d51c9a1d2fd893e5f822b62303b7aa8f5c7bca6d,top;organizationalUnit,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=entbca,DC=gov,DC=tw",external,2023-01-01 13:36:43,2023-01-01 13:36:43
B011E06銷售稅組營業稅一股,B011E06,"OU=B011E06,OU=B011E00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw","9278542b43084147a82661993804350f",bf0060d6b09069042b08ecb2f45002786e36e5822bb71163730bca70dc004454,bb5bf2a3a71a30c76f0b94f207f712de913ccfd689d421ff85b9c49f657a9243,top;organizationalUnit,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=entbca,DC=gov,DC=tw",external,2023-01-01 13:36:44,2023-01-01 13:36:44
