"dn","objectguid","cn","samaccountname","name","grouptype","memberof","extensionattribute10","extensionattribute11","extensionattribute12","extensionattribute13","extensionattribute14","extensionattribute15","mail_enabled","syncattrs_hash","dn_hash","whencreated","whenchanged","placeholder"
"CN=L502F00,OU=L502F00,OU=L505000,OU=L50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,L502F00,L502F00,L502F00,-2147483640,"CN=L505000,OU=L505000,OU=L50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",L502F00臺中縣分局第二課,L502F00臺中縣分局第二課,L502F00臺中縣分局第二課,L502F00臺中縣分局第二課,L502F00臺中縣分局第二課,L502F00臺中縣分局第二課,"1",a65a98ec531d2e943b16be83bc94aa28b526b8981f72d891119237c3aead82fd,"587717a6439db0e4a005655b9aa34bc5fde5440f429c6f509752c6c91551537d",2013-03-08 10:22:23,2019-11-14 16:34:28,inner
"CN=B011T03,OU=B011T03,OU=B011T00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B011T03,B011T03,B011T03,-2147483640,"CN=B011T00,OU=B011T00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B011T03法務一科行政救濟一股(停用),B011T03法務一科行政救濟一股(停用),B011T03法務一科行政救濟一股(停用),B011T03法務一科行政救濟一股(停用),B011T03法務一科行政救濟一股(停用),B011T03法務一科行政救濟一股(停用),"1","058f085e7354e7e1e6209d54222b94128b3eec52a6629a71fc946e44f3cd7dfe","99f17198c4e9f989063b81af5573a6135eaa53da76050ffed6ee3d6ceb2a0d18",2012-07-03 10:50:22,2023-01-13 18:47:07,inner
"CN=B011T07,OU=B011T07,OU=B011T00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B011T07,B011T07,B011T07,-2147483640,"CN=B011T00,OU=B011T00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B011T07法務組行政救濟一股,B011T07法務組行政救濟一股,B011T07法務組行政救濟一股,B011T07法務組行政救濟一股,B011T07法務組行政救濟一股,B011T07法務組行政救濟一股,"1","8362dea390b8c6efec3763b21dd3c78c148546af4632121913799d20d1801a1a",aef543e5a82b176a713a269dee002a9dceaab148ea84cb125c02e09a258b7f3a,2012-07-03 10:50:30,2023-01-13 18:47:09,inner
"CN=B011W02,OU=B011W02,OU=B011W00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B011W02,B011W02,B011W02,-2147483640,"CN=B011W00,OU=B011W00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B011W02法務二科行政救濟一股,B011W02法務二科行政救濟一股,B011W02法務二科行政救濟一股,B011W02法務二科行政救濟一股,B011W02法務二科行政救濟一股,B011W02法務二科行政救濟一股,"1",c3df664779f27e541130690de6ba43a0ea56701c20e4241fe166b203ce2a8d68,b18c81ed2dcd7b3d0c66e294cc80782bb1bbe20e739b724a895485e488d7967c,2012-02-06 15:34:41,2023-01-13 18:47:12,inner
"CN=B011W03,OU=B011W03,OU=B011W00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B011W03,B011W03,B011W03,-2147483640,"CN=B011W00,OU=B011W00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B011W03法務二科行政救濟二股,B011W03法務二科行政救濟二股,B011W03法務二科行政救濟二股,B011W03法務二科行政救濟二股,B011W03法務二科行政救濟二股,B011W03法務二科行政救濟二股,"1","9349eec468f914ec122dfa237764366c328d0455491d1b12649875636988845f",f9a9a909c38d8328a2343b663d7a241397b7f439a8692727c7d1417700c24694,2012-02-06 15:34:42,2023-01-13 18:47:12,inner
"CN=B011D00,OU=B011D00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B011D00,B011D00,B011D00,-2147483640,"CN=B01,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B011D00徵收科,B011D00徵收科,B011D00徵收科,B011D00徵收科,B011D00徵收科,B011D00徵收科,"1","6a52b6b2f47577014098665d279a86fe33130e69bd31630b1782fddee482c6b4","98198a841414f7c7f1f6b78b5e2ead1fca812ca54f95affdf5ae966cd386a3f9",2012-02-06 15:33:05,2023-01-13 20:33:04,inner
"CN=L502G00,OU=L502G00,OU=L505000,OU=L50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,L502G00,L502G00,L502G00,-2147483640,"CN=L505000,OU=L505000,OU=L50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",L502G00臺中縣分局資料課(停用),L502G00臺中縣分局資料課(停用),L502G00臺中縣分局資料課(停用),L502G00臺中縣分局資料課(停用),L502G00臺中縣分局資料課(停用),L502G00臺中縣分局資料課(停用),"1",a15518f4a9e1272f1f3d728a1755bd539113cb090858189ccec90a757268f522,"78eff1808c5b86df16767736074580f7254845f14aaacc3a5f961aa4428a2ba4",2013-03-08 10:18:43,2019-11-14 16:34:29,inner
"CN=B011W04,OU=B011W04,OU=B011W00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B011W04,B011W04,B011W04,-2147483640,"CN=B011W00,OU=B011W00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B011W04法務二科審核員組,B011W04法務二科審核員組,B011W04法務二科審核員組,B011W04法務二科審核員組,B011W04法務二科審核員組,B011W04法務二科審核員組,"1",d1fa0c5efa7e2641b70cb69f3be9f505167d640772e4d5fbe77b6097ab79c98d,"136acdcf615b0a475087740d42d99a43fb1061291ee5f92421f2099364c195e2",2012-02-06 15:34:45,2023-01-13 18:47:13,inner
"CN=B492A00,OU=B492A00,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492A00,B492A00,B492A00,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492A00臺中分局分局長室(停用),B492A00臺中分局分局長室(停用),B492A00臺中分局分局長室(停用),B492A00臺中分局分局長室(停用),B492A00臺中分局分局長室(停用),B492A00臺中分局分局長室(停用),"1",d783680865c76bea7129c137d36f73722ed19e68ff628278c9f8f2bbe5408060,f488ad06e2ed22e69d4afe42b753ad9178d1e84aa519c874f3c00cdffdc5eed0,2013-03-08 10:17:39,2023-01-13 18:47:14,inner
"CN=B492A01,OU=B492A01,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492A01,B492A01,B492A01,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492A01臺中分局分局長室,B492A01臺中分局分局長室,B492A01臺中分局分局長室,B492A01臺中分局分局長室,B492A01臺中分局分局長室,B492A01臺中分局分局長室,"1","5a44a4767b57f4d14cd03df050de47dceeb1596ab6af7a951e6a7aa6ec1f607c","7fe6c0457455e3ca927f8c6f9ed8f6452b567a42a3f4b765837dad1ca751eaa5",2013-03-08 10:17:45,2023-01-13 18:47:15,inner
"CN=B492C00,OU=B492C00,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492C00,B492C00,B492C00,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492C00臺中分局審查課(停用),B492C00臺中分局審查課(停用),B492C00臺中分局審查課(停用),B492C00臺中分局審查課(停用),B492C00臺中分局審查課(停用),B492C00臺中分局審查課(停用),"1",d63ccbcdd973b26d49ecd33cc20bb8e3a549bb56886b9a18d66474599293edb4,"279b73ba0feda1332206ded9dad590e418bbf851d9aeaf065e5a58e462fbd377",2013-03-08 10:13:11,2023-01-13 18:47:17,inner
"CN=B492C07,OU=B492C07,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,B492C07,B492C07,B492C07,-2147483640,"CN=B494900,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",B492C07臺中分局審查課(停用),B492C07臺中分局審查課(停用),B492C07臺中分局審查課(停用),B492C07臺中分局審查課(停用),B492C07臺中分局審查課(停用),B492C07臺中分局審查課(停用),"1","324e3283e084f67a2ed2628633921c75b2cf52d6b4678667e1a2689184484020",e5bfa1e7e3d5337010095942a62cb10efb2034944afab01d7f349dc52f21b35c,2013-03-08 10:13:22,2023-01-13 18:47:17,inner
"CN=L535300,OU=L535300,OU=L53,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,L535300,L535300,L535300,-2147483640,"CN=L53,OU=L53,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",L535300東勢稽徵所,L535300東勢稽徵所,L535300東勢稽徵所,L535300東勢稽徵所,L535300東勢稽徵所,L535300東勢稽徵所,"1","16b0fcf88a472e5983b7adb4b09dcecbf150dbe4baf343dedbc135a70e070d66",de7ba554561491ff6f987498741febf6f8f86dbe97f1594c7b07e3ba97aad370,2012-02-06 15:32:21,2019-11-14 16:34:31,inner
"CN=BELN0,OU=BELN0,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",,BELN0,BELN0,BELN0,-2147483640,"CN=BELROOT,OU=BELROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",BELN0財政部,BELN0財政部,BELN0財政部,BELN0財政部,BELN0財政部,BELN0財政部,"0","705b3e7dcb8fb621f1d86077c03aceeb397775a5adf53570b3e6b83b74a19d60",cb4940f0c55e67e1cc34ed4f7c0d068ecc4be6a5173a3bb8799209ea70a55873,2013-04-10 14:18:45,2019-11-14 16:39:36,inner
