"dn","objectguid","cn","samaccountname","name","grouptype","memberof","extensionattribute10","extensionattribute11","extensionattribute12","extensionattribute13","extensionattribute14","extensionattribute15","mail_enabled","syncattrs_hash","dn_hash","whencreated","whenchanged","placeholder"
"CN=B01ROOT,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B01ROOT,B01ROOT,B01ROOT,-2147483640,,B01ROOT中區國稅局內部機關根節點,B01ROOT中區國稅局內部機關根節點,B01ROOT中區國稅局內部機關根節點,B01ROOT中區國稅局內部機關根節點,B01ROOT中區國稅局內部機關根節點,B01ROOT中區國稅局內部機關根節點,"1",bf3804c1e494c50362b3da591761215c79dd74c506994f20b4e60cfd415eec85,c878d03725a9d5e7eab224bb5fc9b59b2edeae628bfa09d48433f3b73271cdc0,2011-09-14 15:18:21,2019-11-14 16:26:31,external
"CN=B011B01,OU=B011B01,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011B01,B011B01,B011B01,-2147483640,"CN=B011B00,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011B01服務科服務股,B011B01服務科服務股,B011B01服務科服務股,B011B01服務科服務股,B011B01服務科服務股,B011B01服務科服務股,"1",fb1276d1080e6acbf8b96c9bfd6b9e8c08b76fb71235569fa751b5d481ba046d,"4499c4dba53126f689bb110b62af57bea5d283cfaa4a38b5ec7f35914ab22535",2012-02-06 15:32:48,2023-01-13 18:45:52,external
"CN=B011B03,OU=B011B03,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011B03,B011B03,B011B03,-2147483640,"CN=B011B00,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011B03服務科研究考核股(停用),B011B03服務科研究考核股(停用),B011B03服務科研究考核股(停用),B011B03服務科研究考核股(停用),B011B03服務科研究考核股(停用),B011B03服務科研究考核股(停用),"1",d2dd2db8bcaa7ad52e5c48e54cc3a071f75649490546618f1b5f5f3f347fe7b3,"9e7658debab9957cd2838c8f355ba0c8d13d217be71957373ec0e3b8c549873b",2012-02-06 15:32:51,2023-01-13 18:45:53,external
"CN=B011B02,OU=B011B02,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011B02,B011B02,B011B02,-2147483640,"CN=B011B00,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011B02服務科宣導股,B011B02服務科宣導股,B011B02服務科宣導股,B011B02服務科宣導股,B011B02服務科宣導股,B011B02服務科宣導股,"1","6748918b6f50e9cf34706080a006db3c4d9be89026115a5ee1f01cb56ea2c221","1d3ae2f35447590f5d7a0ec91971899d41cb665499684f8b56d101d86316b1c1",2012-02-06 15:32:50,2023-01-13 18:45:52,external
"CN=B011B04,OU=B011B04,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011B04,B011B04,B011B04,-2147483640,"CN=B011B00,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011B04服務科管制考核股(停用),B011B04服務科管制考核股(停用),B011B04服務科管制考核股(停用),B011B04服務科管制考核股(停用),B011B04服務科管制考核股(停用),B011B04服務科管制考核股(停用),"1","12b7f2df19da0f48b534a22b3ff660d659294142889a40af6588a96b2c53e24a","83a66ec8774441ea2ada8327ee6fe607711a10c606c387807e88bfe4a13385ab",2012-02-06 15:32:52,2023-01-13 18:45:54,external
"CN=B011A01,OU=B011A01,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011A01,B011A01,B011A01,-2147483640,"CN=B01,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011A01局長室,B011A01局長室,B011A01局長室,B011A01局長室,B011A01局長室,B011A01局長室,"1","2cee3d6ecf62b815d33c1065f7928417924388a2f023acb2b692eb3caaaba5fc","9d811af5c671aee0545483a134fc5b0fd9e0cf0a345dccdd56b8f3c1d0825435",2013-03-08 10:25:15,2023-01-13 20:32:59,external
"CN=B011A02,OU=B011A02,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011A02,B011A02,B011A02,-2147483640,"CN=B01,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011A02副局長室,B011A02副局長室,B011A02副局長室,B011A02副局長室,B011A02副局長室,B011A02副局長室,"1","114e485524ef716596580f2646374bf8a144e29588ab132c86f9daf65ea0ce22","676e5c3176d787a2ccc0d354dfee441aacf2fc4d4c760552284412a0b1edc259",2013-03-08 10:25:22,2023-01-13 20:33:00,external
"CN=B011A03,OU=B011A03,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011A03,B011A03,B011A03,-2147483640,"CN=B01,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011A03主任秘書室,B011A03主任秘書室,B011A03主任秘書室,B011A03主任秘書室,B011A03主任秘書室,B011A03主任秘書室,"1",f25986595fa271504e6ab5d204f8628ad9060fb4fe42fe2be0cdb5e1601a5ae6,"03d26a80b5c7736f774755ab87c9c17b327b6c5d00ef911882717f91ce18efdd",2013-03-08 10:25:25,2023-01-13 20:33:00,external
"CN=B011A04,OU=B011A04,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011A04,B011A04,B011A04,-2147483640,"CN=B01,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011A04核稿秘書室,B011A04核稿秘書室,B011A04核稿秘書室,B011A04核稿秘書室,B011A04核稿秘書室,B011A04核稿秘書室,"1","809c6fbcaf8d4016a67711be00960cf82d92319f06ef78ff0f20b90219016147",db0afb08bc02a690ac6af22f38fbf92b18a0516c8149ff90c3da25451ae699ee,2013-03-08 10:25:29,2023-01-13 20:33:01,external
"CN=B011B00,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011B00,B011B00,B011B00,-2147483640,"CN=B01,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011B00服務科,B011B00服務科,B011B00服務科,B011B00服務科,B011B00服務科,B011B00服務科,"1","54656bb2fe31ebbfbe7e87489f2e1ff71598ca255247b054d114ace029457e16","409bf3b2336bcf2d6180b8614e27ba4d1c255a07d09b0b5c1fc2464b77b57f0b",2012-02-06 15:32:47,2023-01-13 20:33:02,external
"CN=B011C00,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011C00,B011C00,B011C00,-2147483640,"CN=B01,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011C00營所稅組,B011C00營所稅組,B011C00營所稅組,B011C00營所稅組,B011C00營所稅組,B011C00營所稅組,"1",f0f7f08609f949e552999b5c9a370aaff644a3609fc66ee50553a2a24a52d911,"2935e838e51175dbf6d506199d2418ae7eda231f7f0f8d95135c3527820c4ef6",2012-02-06 15:32:53,2023-01-13 20:33:02,external
"CN=B01,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B01,B01,B01,-2147483640,"CN=B01ROOT,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B01財政部中區國稅局,B01財政部中區國稅局,B01財政部中區國稅局,B01財政部中區國稅局,B01財政部中區國稅局,B01財政部中區國稅局,"1","0546605f93671008b9ebde0c9ba97ff6da228cf47309d31852d39a555e886998","57cc0aa1b5d44c7218a6a7438c4b51ce11b489249a39c35125d012e83a5eedc3",2012-02-06 15:28:08,2023-01-13 20:32:37,external
"CN=B011A00,OU=B011A00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011A00,B011A00,B011A00,-2147483640,"CN=B01,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011A00首長室,B011A00首長室,B011A00首長室,B011A00首長室,B011A00首長室,B011A00首長室,"1",ba05ec1acbc20bebbb264f1278e28201f862867d226e68369417a2e1f6687e00,"030e2498142ffbe1ef0ac699b603d5705a7129157a53feab8ac6e9c35ff6bc3a",2012-02-06 15:32:41,2023-01-13 20:32:59,external
"CN=B011C04,OU=B011C04,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011C04,B011C04,B011C04,-2147483640,"CN=B011C00,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011C04審查一科審核員三組(停用),B011C04審查一科審核員三組(停用),B011C04審查一科審核員三組(停用),B011C04審查一科審核員三組(停用),B011C04審查一科審核員三組(停用),B011C04審查一科審核員三組(停用),"1",cc38d71f35afa987bb62123f57547e780e85b97214261a84b612d70964306668,e0e16415915c8ffad909b7ac40586cb8b516949664667f45a52cf13b7ae7b2c7,2012-02-06 15:32:57,2023-01-15 13:14:38,external
"CN=B011C05,OU=B011C05,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011C05,B011C05,B011C05,-2147483640,"CN=B011C00,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011C05營所稅組審查一股,B011C05營所稅組審查一股,B011C05營所稅組審查一股,B011C05營所稅組審查一股,B011C05營所稅組審查一股,B011C05營所稅組審查一股,"1","1cdb9baa661890058ef31fb1de7fb72bb7519f37dd43dcd7762bc8b55bddbd31","3a2c9b776c938ddf93b4bdcd185d8e9c93d1315653715e5336741da8e5221974",2012-02-06 15:32:58,2023-01-13 18:45:58,external
"CN=B011C06,OU=B011C06,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011C06,B011C06,B011C06,-2147483640,"CN=B011C00,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011C06營所稅組審查二股,B011C06營所稅組審查二股,B011C06營所稅組審查二股,B011C06營所稅組審查二股,B011C06營所稅組審查二股,B011C06營所稅組審查二股,"1","9fb957281de17bf773484dd8e410d8abe24b28aeb2eed2e249713dff82dd3801","7fce3fecaa6540513fcd2cf32e847973a95f4e84446739d9724fc59edf650169",2012-02-06 15:32:59,2023-01-13 18:45:58,external
"CN=B011C10,OU=B011C10,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",,B011C10,B011C10,B011C10,-2147483640,"CN=B011C00,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",B011C10審查一科六股(停用),B011C10審查一科六股(停用),B011C10審查一科六股(停用),B011C10審查一科六股(停用),B011C10審查一科六股(停用),B011C10審查一科六股(停用),"1","23f4b6ff813bf7c4a475cedbd38194b3118169e189839881412ffe6f0ec1c54c","6a17709ff8f0aacbdef47cb87d6856ad7820ee2485b1e1048f01a282fb96666b",2012-02-06 15:33:03,2023-01-13 18:46:01,external
