"displayname","ou","dn","objectguid","syncattrs_hash","dn_hash","whencreated","whenchanged","placeholder"
N575710北斗稽徵所服務管理股,N575710,"OU=N575710,OU=N575700,OU=N57,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","66386718ab834756a46766386718ab83","11aac3507e7d8616075ee4450052b7b7d6d74e33138340587fb7a09eafdd206d",d313bd989e5d99e8aac742f15e02a8a58462725503776cdc931e6d6cfe81828d,2013-03-08 10:22:13,2023-01-13 18:50:19,inner
P646404北港稽徵所審查股(停用),P646404,"OU=P646404,OU=P646400,OU=P64,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","8d620338e4cd49489d8a8d620338e4cd",fc1789b82e463c3fbbb34ca16e02db74e699f234aac06c0a5abe9648e7066feb,"27e9877cd004422b4af9c7ade328c38d4b7c841ac2b7c58c73a2fde944c164df",2013-03-08 10:17:14,2023-01-13 18:50:22,inner
L535301東勢稽徵所主任室,L535301,"OU=L535301,OU=B535300,OU=B53,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","5f2cd976b37740b5844d5f2cd976b377","620c11f379442ecef2178a04f22e4361511f8a12987f5d9176779faf41fd7136","44554673365d5475c1334bbdc800fb5659fd1a105b80dfec84fc2c71716dd97b",2013-03-08 10:03:41,2019-11-14 16:33:12,inner
L505000臺中縣分局,L505000,"OU=L505000,OU=L50,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","789d8a6d7fc6d64882884368c044bcb8","47e38e600c6ca7b690a2d6a50f78aaeacdb0260e856af9c5554dec6b1dfcd554","547a65b705544db55ea2ac90ae3d7d93f006d53329b2cd1d50ad1f7e53882e13",2012-02-06 15:31:55,2019-11-14 16:34:27,inner
B011F01稽核科審核員組(停用),B011F01,"OU=B011F01,OU=B011F00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","3eab78c6d476e44a8449fe16c7335724",d96e3ce4bf8fd3d8f127df4b5340b20cc06842c00a2a488dc1c536278a3b76c7,aa05a9952d21d924cea50cc6660895516fea747bab675e2cb7084a616e59aaef,2012-02-06 15:33:21,2023-01-13 18:46:13,inner
B011F11綜合行政組租稅教育及宣導股,B011F11,"OU=B011F11,OU=B011F00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",dca17b7b82c14ad886d9dca17b7b82c1,"62ed4b75654834e388a15d3b4791f5a3581f381c809641f059ba66832c104dc4",aa01f0f7b5277927d9711fb5c23043ca04d3af7d64468147295c5d5e3a7a101b,2023-01-01 13:29:02,2023-01-13 18:46:18,inner
B011G01資料科收件管制股(停用),B011G01,"OU=B011G01,OU=B011G00,OU=B01,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","565a75e814036744a7e431db5b4d7021","2c2bd1e565e859f642bdce102abac3f5bcf8bcfbe090d2707c92e75a231a4795","7cb02c04b4e30338ff591762b104b4be34a540cef54eb0645782664161e304b2",2012-02-06 15:33:29,2023-01-13 18:46:19,inner
M592C07南投縣分局審查課(停用),M592C07,"OU=M592C07,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","0e7076f0360c4c789ef00e7076f0360c",ab5f21bd63e2d701ae60adb570b7b0b84d883bebdcf241160e41c2492729b965,d6e7fa68466736e15105491667f9b0a6b45f3fdb9ad3fabdedb5e9f33aa6d77a,2013-03-08 10:16:49,2023-01-13 18:48:12,inner
M592D09南投縣分局徵收課(停用),M592D09,"OU=M592D09,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",b362de133a664da4a7cfb362de133a66,"064886ea4519157df7a9bf7f150d4a91a7e709102b534fe28e947f4c068df529",e0e42324a5632c014d318d5f4209f7b49dfa1cd62c251bc553e44daea173e5fd,2013-03-08 10:15:28,2023-01-13 18:48:13,inner
M592E00南投縣分局第一課(停用),M592E00,"OU=M592E00,OU=M595900,OU=M59,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","265ec9529fe44cae90ca265ec9529fe4",bdf09aef801dea522eb213bab4e425677574aa70330cc833f5af74e8c31051cc,"9e96abc8a80343f05cae8fe14e5e43823939672e57f4e3118ba94dcf1a356a51",2013-03-08 10:11:42,2023-01-13 18:48:14,inner
