"displayname","ou","dn","whenchanged","objectguid","syncattrs_hash","dn_hash","whencreated","placeholder"
B01ROOT中區國稅局內部機關根節點,B01ROOT,"OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2019-11-14 16:26:31,"079aa153b85ab84d8af6463b6a29833d","651ebc10e35a546e709d829f03a90881d555334c05c81958becd082a2435b48a","696813e3c440cbc5b16e6618b631f73cbc17ed0ee1f0272725fc52c1ba4e5c6a",2011-09-14 15:18:21,external
B011A01局長室,B011A01,"OU=B011A01,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 20:32:59,"7206da2fb7944aa59cc67206da2fb794","2b2437d89dff6931f6a1f32700f812bcf71311d499f276600b805e07b622c024",f96608fe24606989cbd528a9fe20cabb34e6f26731275a507f82072c6def252b,2013-03-08 10:25:15,external
B011B01服務科服務股,B011B01,"OU=B011B01,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:45:52,"7d6841a01f3f584b9352e3411e48b54d",aa144f54a094248dea65f4c7c1294e780842ff5717b1826811c51e8a9bd4ac91,bc25c3648f00a719bf4893f34fcf3dd81327138985bf64f0f8c75deae01f53fa,2012-02-06 15:32:48,external
B011B02服務科宣導股,B011B02,"OU=B011B02,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:45:52,"28bd1d4376866847b95163b6a1335510",a345eb4c6771505177e10199441c0e873339fd097c3b07e9fd38abd45b4d7512,"4794e5db7c1b4118239ddb782c96a4d5c6577a796ba9cdc9e3cf052fc71aab81",2012-02-06 15:32:50,external
B011B03服務科研究考核股(停用),B011B03,"OU=B011B03,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:45:53,"74725f41e65efa4587200eef247c9c5a","583ef4d7cc2f3ca8adeb19f6ea4b1df483bbda73c113f189cacd9352432d6832","38a6545968cc4211899f68b47c60c65216370944b0d40c5c464e01be7ce1c3d8",2012-02-06 15:32:51,external
B011B04服務科管制考核股(停用),B011B04,"OU=B011B04,OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:45:54,f4eff76d5b2d5749bc55176e2729e297,"62f388d28396b9126615e91a009db8e6550bac445bdd86bef502115a2f9b5b91","8e0cc63a4b05ef3bf98b155708af9a85f6ab04159ad7082c9b080a0bc89e9897",2012-02-06 15:32:52,external
B011C02審查一科審核員一組(停用),B011C02,"OU=B011C02,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-15 13:14:32,af2c8de78979ad4db50369000f01c8df,cbcca30035e576c190b677bee03dcfbd064657410c80f39148bcf7a80abe061c,"326c616cb7eb2a5db6751e08662e05ba37741a2d0f1b04f7e15e5083d920939f",2012-02-06 15:32:55,external
B011C01審查一科管制股(停用),B011C01,"OU=B011C01,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:45:55,f72ebd9a3108fd43b4fa521858eca54b,"0895c8e4adf4fde34293d7c73d92e4bf3bb5b215a5ab69ba6058201321cb1dc3","89b779bbf4974af5f4c6d7e1e3c67c9c58288c94744c6122e8fc4ecac30d5629",2012-02-06 15:32:54,external
B011C03審查一科審核員二組(停用),B011C03,"OU=B011C03,OU=B011C00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-15 13:14:36,"2ee0324f84be16439278f3a520abd388",dfdf036faa81a1699efecf0f1962d286e67867409d463279a2ed7112fd1f1b6e,a53f43a2faee1cc53b97dadfb6aaeda7f2d7cebd62a41708dae8d5a14d627503,2012-02-06 15:32:56,external
B011B00服務科,B011B00,"OU=B011B00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 20:33:02,"2725837e0c156a408af08e0e8f6765e9",b9331f4ee8c8e512dbd241651c6e82fc03614de213247ee8335d1daa8584d53f,"728c6c222bf06a0d9e797e9db300113800c08386904fea2168dbb7c103c036a7",2012-02-06 15:32:47,external
