"placeholder","dn","objectguid","cn","samaccountname","objectclass","objectcategory","name","grouptype","memberof","extensionattribute10","extensionattribute11","extensionattribute12","extensionattribute13","extensionattribute14","extensionattribute15","whencreated","whenchanged","mail_enabled","syncattrs_hash","dn_hash"
inner,"CN=B482F00,OU=B482F00,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","21786c71576ff54f88dd09b2fd9560e5",B482F00,B482F00,top;group,"CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw",B482F00,-2147483640,,,,,,,,2012-09-10 19:06:09,2020-01-18 11:31:12,"0",d3c42bf328468db52586801d0655aacac5e80740f5bec694766fa36eba4ad6c3,"8dd78967bbbae8f190464912c4677cd83554e3e66cf899e4405dbbc7eb839e2d"
inner,"CN=B482F11,OU=B482F11,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","7be97c28f12a2b42b0d2a87d2dd7226e",B482F11,B482F11,top;group,"CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw",B482F11,-2147483640,,,,,,,,2012-09-10 19:06:10,2020-01-18 11:31:12,"0","60036cb7a229010a4df1934d441cf3274ce2dd2a04ad5112e20f4b541150ae04","55c18d1405cdbb63bd2409850d82434b9e68ea2016c717621e5c9b9e7988d69c"
inner,"CN=B482E00,OU=B482E00,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",a82dfc94239d574da1e772dab7430cab,B482E00,B482E00,top;group,"CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw",B482E00,-2147483640,,,,,,,,2012-09-10 19:06:09,2020-01-18 11:31:12,"0","6a4eca13295f694a3492f4899305dc93ebeb83806425db49e978ddef2db799ac","8f1fdcef10a724021ef196d112b2d0e784d22b7d8a4fe0f7e3b52aada8b97faf"
inner,"CN=B482E10,OU=B482E10,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",adfabf2495611243bce734203efaa93d,B482E10,B482E10,top;group,"CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw",B482E10,-2147483640,,,,,,,,2012-09-10 19:06:09,2020-01-18 11:31:12,"0","1775466489a815558aac27a769424ca37a1b1d1a1f36e3db72d50c30fcecf6c4","7b5eefeb14844d2605c5ae9f3863c4804eb519ee390d9c95a54f03e5212b6044"
inner,"CN=B482D00,OU=B482D00,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","44bb63e8212da24c84a13becea6b0745",B482D00,B482D00,top;group,"CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw",B482D00,-2147483640,,,,,,,,2012-09-10 19:06:08,2020-01-18 11:31:12,"0",ed3288c61acbac7e89e788f4aae0d673c77477e9b7034102e0058879b4931768,c2dc69b8ef91b71d876524bd94b9b00494b7c034d8afe3f0091cf8f72e7d6a53
inner,"CN=B482D09,OU=B482D09,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","640a420eca948840953e03109bc9ad48",B482D09,B482D09,top;group,"CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw",B482D09,-2147483640,,,,,,,,2012-09-10 19:06:08,2020-01-18 11:31:12,"0",d9ec27e7a1f3d8d83fb1fec1e765194fb79bd59233943e9d533f31bbd41e7c67,"8dad5daa04f2141916253b1c4e1f0c1bf903ffa88baa6bf8b7c6f5e7eb4d2b9f"
inner,"CN=B482G08,OU=B482G08,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",d2e306cfa70c6147af8e1616b4543376,B482G08,B482G08,top;group,"CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw",B482G08,-2147483640,,,,,,,,2012-09-10 19:06:10,2020-01-18 11:31:12,"0","61a73bbe4f0b4f49ba7c3168ebea499fe02a8500631fb6629b6c773af2e489eb","1680a9520723cea18d6f7084c1a10747189f3b3a8b3704b0e364544243a593fa"
inner,"CN=B482J00,OU=B482J00,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw","17cb98f1cf20134cbbf12a5dbf584ec5",B482J00,B482J00,top;group,"CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw",B482J00,-2147483640,,,,,,,,2012-09-10 19:06:10,2020-01-18 11:31:12,"0","1150a7522c7913d3d6fcf7292699431acf830be57a2e9b5a5f34b3d0415c806d","703d7a04003a99d8f5f4b943afbe7c9242fcc9dd161e7475a89d247bc37aa293"
inner,"CN=B482J13,OU=B482J13,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",dd2067ade39de8498febc15eef0c67bf,B482J13,B482J13,top;group,"CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw",B482J13,-2147483640,,,,,,,,2012-09-10 19:06:10,2020-01-18 11:31:12,"0","1fa9b6162054e4186a732ed667265607e3d804d6cd6fe51a71fdf54ecdfa2e8d","1f38581f3abea57bee50fb52625bc84432e64c744d3185811e4079dc2d0368f3"
inner,"CN=B482K00,OU=B482K00,OU=B494900,OU=B49,OU=B01ROOT,OU=MOF,DC=intbca,DC=gov,DC=tw",fcaf1b2175179f49bea10f5514059d7b,B482K00,B482K00,top;group,"CN=Group,CN=Schema,CN=Configuration,DC=intbca,DC=gov,DC=tw",B482K00,-2147483640,,,,,,,,2012-09-10 19:06:11,2020-01-18 11:31:12,"0","43c59ff599f5a57c969967bbbb011a9a8a30ef9107af237d2d193ffe8595a3d2",b2c4856ad25b45fb4ab2962a4c33f16609a6b3fc80b793f70c66a803727575b8
